Date;Open;High;Low;Close;Adj Close;Volume
09/12/2016;60688;61129;60316;60501;60501;3339800
12/12/2016;60517;60517;59035;59179;59179;3244400
13/12/2016;59178;59946;58758;59281;59281;3589100
14/12/2016;59280;59338;58212;58212;58212;3857000
15/12/2016;58214;58635;57575;58396;58396;3569400
16/12/2016;58398;59312;58365;58389;58389;3683900
19/12/2016;58390;58600;57109;57111;57111;3396500
20/12/2016;57116;57918;57038;57583;57583;2673400
21/12/2016;57583;58049;57221;57647;57647;2461900
22/12/2016;57646;57646;56829;57255;57255;2809800
23/12/2016;57255;58143;57255;57937;57937;2155400
26/12/2016;57941;58781;57941;58620;58620;680200
27/12/2016;58627;59068;58402;58697;58697;1624700
28/12/2016;58688;59911;58688;59782;59782;1960500
29/12/2016;59782;60248;59278;60227;60227;2119500
02/01/2017;60227;60227;59371;59589;59589;808700
03/01/2017;59631;61815;59631;61814;61814;3328300
04/01/2017;61811;61940;61302;61589;61589;2840800
05/01/2017;61594;62409;61594;62071;62071;3313000
06/01/2017;62072;62072;61396;61665;61665;2374800
09/01/2017;61680;62112;61307;61700;61700;2480800
10/01/2017;61710;62446;61710;62132;62132;2623400
11/01/2017;62134;62674;61665;62446;62446;3139800
12/01/2017;62448;64342;62448;63954;63954;4535000
13/01/2017;63940;64092;63366;63652;63652;2735500
16/01/2017;63652;64014;63556;63831;63831;1763700
17/01/2017;63827;64658;63456;64354;64354;2933800
18/01/2017;64360;64680;64063;64150;64150;3008900
19/01/2017;64145;64456;63574;63951;63951;2867100
20/01/2017;63951;64694;63951;64521;64521;3416700
23/01/2017;64519;65816;64500;65749;65749;2957000
24/01/2017;65752;66173;65615;65840;65840;3850500
26/01/2017;65842;66594;65842;66191;66191;3494100
27/01/2017;66195;66242;65876;66034;66034;2583400
30/01/2017;66025;66025;64165;64302;64302;2264300
31/01/2017;64310;64901;64284;64671;64671;2737700
01/02/2017;64687;65594;64687;64836;64836;3214300
02/02/2017;64835;65132;64163;64578;64578;2959200
03/02/2017;64579;65387;64264;64954;64954;3482700
06/02/2017;64957;65327;63933;63993;63993;2551400
07/02/2017;64022;64815;63938;64199;64199;2776200
08/02/2017;64200;64835;63740;64835;64835;3138600
09/02/2017;64850;65302;64587;64965;64965;2641700
10/02/2017;64965;66292;64935;66125;66125;3439000
13/02/2017;66125;67094;66125;66968;66968;3108800
14/02/2017;66971;67110;66251;66713;66713;3370900
15/02/2017;66712;68016;66712;67976;67976;4119600
16/02/2017;67979;68456;67661;67814;67814;3550800
17/02/2017;67814;67819;67158;67748;67748;2787300
20/02/2017;67756;68674;67756;68533;68533;2171300
21/02/2017;68536;69112;68536;69052;69052;3051100
22/02/2017;69052;69052;68282;68590;68590;3374600
23/02/2017;68590;69488;67279;67461;67461;3977800
24/02/2017;67458;67458;66452;66662;66662;3059900
01/03/2017;66661;67398;66661;66989;66989;2378500
02/03/2017;67000;67035;65594;65855;65855;3095300
03/03/2017;65860;66801;65860;66786;66786;2654400
06/03/2017;66786;66892;66119;66341;66341;3337500
07/03/2017;66343;66641;65668;65742;65742;2886200
08/03/2017;65748;65810;64496;64718;64718;3727200
09/03/2017;64718;65068;64203;64585;64585;3513300
10/03/2017;64586;65725;64472;64675;64675;3432900
13/03/2017;64674;65651;64674;65534;65534;2162800
14/03/2017;65511;65549;64699;64699;64699;2824800
15/03/2017;64702;66318;64537;66235;66235;3742100
16/03/2017;66232;66554;65531;65783;65783;2860400
17/03/2017;65783;66205;64152;64210;64210;5213000
20/03/2017;64232;65136;63672;64884;64884;3613900
21/03/2017;64884;64965;62795;62980;62980;3700200
22/03/2017;62980;63747;62496;63521;63521;4063300
23/03/2017;63521;63942;62840;63531;63531;3447400
24/03/2017;63554;63997;63469;63854;63854;2571200
27/03/2017;63829;64356;63030;64308;64308;2672800
28/03/2017;64308;64847;64042;64640;64640;3359100
29/03/2017;64636;65551;64476;65528;65528;3488200
30/03/2017;65541;65775;65070;65266;65266;2335700
31/03/2017;65266;65597;64859;64984;64984;2614200
03/04/2017;64989;65384;64774;65211;65211;2858500
04/04/2017;65212;65775;64990;65769;65769;2085300
05/04/2017;65770;66211;64493;64775;64775;2982200
06/04/2017;64775;64921;63762;64223;64223;2875000
07/04/2017;64202;65197;64016;64593;64593;2853100
10/04/2017;64593;64928;64115;64650;64650;2984000
11/04/2017;64650;64872;63351;64360;64360;3178400
12/04/2017;64362;64456;63814;63892;63892;4253500
13/04/2017;63891;63992;62826;62826;62826;3212900
17/04/2017;62828;64424;62828;64335;64335;0
18/04/2017;64336;64591;63717;64159;64159;3144800
19/04/2017;64165;64572;63219;63407;63407;3069500
20/04/2017;63406;64163;63388;63761;63761;2899700
24/04/2017;63761;64754;63761;64389;64389;3194100
25/04/2017;64384;65148;63875;65148;65148;3037200
26/04/2017;65144;65436;64679;64862;64862;3221600
27/04/2017;64872;65327;64292;64677;64677;3112100
28/04/2017;64679;65403;64592;65403;65403;2973700
02/05/2017;65404;66877;65404;66722;66722;3497000
03/05/2017;66720;66758;65898;66094;66094;3446400
04/05/2017;66069;66099;64721;64863;64863;3779900
05/05/2017;64869;65768;64863;65710;65710;2760000
08/05/2017;65705;66015;65295;65526;65526;2273300
09/05/2017;65533;66536;65533;66278;66278;2679100
10/05/2017;66284;67528;66284;67350;67350;3174100
11/05/2017;67355;67709;67191;67538;67538;2872600
12/05/2017;67536;68429;67536;68222;68222;3822600
15/05/2017;68227;68593;68081;68474;68474;3290300
16/05/2017;68473;68792;68124;68684;68684;3672400
17/05/2017;68674;68674;67163;67540;67540;3317200
18/05/2017;67536;67536;60315;61597;61597;11046700
19/05/2017;61597;63488;61597;62639;62639;6120800
22/05/2017;62638;62638;60925;61673;61673;5815800
23/05/2017;61670;62775;61670;62662;62662;4753500
24/05/2017;62673;64016;62673;63257;63257;4181200
25/05/2017;63256;63991;62762;63227;63227;4001000
26/05/2017;63228;64170;63228;64085;64085;3849400
29/05/2017;64055;64055;63531;63761;63761;1646300
30/05/2017;63765;64107;63720;63962;63962;2235300
31/05/2017;63961;63984;62673;62711;62711;4535100
01/06/2017;62711;63293;62165;62289;62289;3370200
02/06/2017;62289;62773;62161;62511;62511;2874500
05/06/2017;62503;62800;62010;62450;62450;2421700
